newsDatetime,important,liked,disliked,positive,negative,code,net_sentiment,net_engagement,year,month,quarter
2021-04-24 16:00:00,3,2,1,1,1,BTC,0,1,2021,4,2
2021-04-25 17:03:25,12,22,0,19,0,BTC,19,22,2021,4,2
2021-04-25 21:19:18,5,18,0,4,0,BTC,4,18,2021,4,2
2021-04-26 10:30:18,8,23,0,25,0,BTC,25,23,2021,4,2
2021-04-26 20:30:11,18,19,3,30,23,BTC,7,16,2021,4,2
2021-04-26 21:15:00,12,18,2,24,16,BTC,8,16,2021,4,2
2021-04-27 08:27:57,24,27,6,5,40,BTC,-35,21,2021,4,2
2021-04-27 19:12:03,5,22,2,21,2,BTC,19,20,2021,4,2
2021-04-27 21:00:21,3,3,1,0,0,BTC,0,2,2021,4,2
2021-04-28 00:00:11,4,7,0,5,0,BTC,5,7,2021,4,2
2021-04-28 05:59:06,3,6,0,5,0,BTC,5,6,2021,4,2
2021-04-28 08:09:53,18,25,0,37,0,BTC,37,25,2021,4,2
2021-04-28 08:16:17,4,4,0,11,0,BTC,11,4,2021,4,2
2021-04-28 10:45:19,30,4,14,3,21,BTC,-18,-10,2021,4,2
2021-04-28 10:52:40,9,16,19,22,17,BTC,5,-3,2021,4,2
2021-04-28 18:18:08,9,13,0,17,0,BTC,17,13,2021,4,2
2021-04-29 13:58:48,3,5,0,5,0,BTC,5,5,2021,4,2
2021-04-29 15:34:02,9,12,0,17,0,BTC,17,12,2021,4,2
2021-04-29 20:00:08,8,18,0,23,1,BTC,22,18,2021,4,2
2021-04-30 05:16:07,3,8,1,8,1,BTC,7,7,2021,4,2
2021-04-30 13:22:36,3,6,0,3,0,BTC,3,6,2021,4,2
2021-05-01 07:04:16,3,7,0,10,0,BTC,10,7,2021,5,2
2021-05-01 13:42:21,8,27,1,27,0,BTC,27,26,2021,5,2
2021-05-01 13:55:53,3,5,0,6,0,BTC,6,5,2021,5,2
2021-05-01 18:45:32,26,63,1,52,2,BTC,50,62,2021,5,2
2021-05-02 11:30:00,9,18,0,19,0,BTC,19,18,2021,5,2
2021-05-03 16:15:19,8,9,2,13,2,BTC,11,7,2021,5,2
2021-05-04 15:10:30,4,4,3,7,2,BTC,5,1,2021,5,2
2021-05-04 15:30:44,9,5,1,7,9,BTC,-2,4,2021,5,2
2021-05-05 07:01:26,5,9,8,13,4,BTC,9,1,2021,5,2
2021-05-05 07:24:40,7,19,0,19,1,BTC,18,19,2021,5,2
2021-05-05 09:10:00,5,11,13,13,16,BTC,-3,-2,2021,5,2
2021-05-05 16:00:45,7,7,0,6,0,BTC,6,7,2021,5,2
2021-05-05 17:49:16,9,22,16,19,18,BTC,1,6,2021,5,2
2021-05-06 08:39:38,9,9,0,13,1,BTC,12,9,2021,5,2
2021-05-06 09:56:05,4,7,0,10,0,BTC,10,7,2021,5,2
2021-05-06 23:31:58,8,16,0,26,0,BTC,26,16,2021,5,2
2021-05-07 07:15:00,14,24,1,32,0,BTC,32,23,2021,5,2
2021-05-07 15:16:43,3,1,0,5,1,BTC,4,1,2021,5,2
2021-05-08 01:55:23,3,5,2,5,1,BTC,4,3,2021,5,2
2021-05-08 10:10:00,7,8,6,11,5,BTC,6,2,2021,5,2
2021-05-09 04:33:00,8,13,6,21,8,BTC,13,7,2021,5,2
2021-05-09 07:50:28,8,15,3,10,11,BTC,-1,12,2021,5,2
2021-05-09 11:39:38,11,15,9,12,6,BTC,6,6,2021,5,2
2021-05-09 17:58:29,15,28,2,31,2,BTC,29,26,2021,5,2
2021-05-10 09:08:43,5,6,6,6,4,BTC,2,0,2021,5,2
2021-05-10 13:00:09,10,27,0,28,1,BTC,27,27,2021,5,2
2021-05-10 13:40:19,3,3,0,5,1,BTC,4,3,2021,5,2
